crawl_id,page_id,crawl_timestamp,content_hash,calibration_group,crawl_quality,html_size_bytes,url,domain,status_code,response_time_ms,redirect_count,title_exists,title_length,title_word_count,meta_description_exists,meta_description_length,meta_description_word_count,h1_count,h2_count,h3_count,h4_count,h5_count,h6_count,heading_total_count,word_count,character_count,unique_word_count,unique_word_ratio,image_count,images_with_alt,images_without_alt,images_missing_alt_attribute,empty_alt_count,alt_coverage_ratio,total_link_count,internal_link_count,external_link_count,nofollow_link_count,sponsored_link_count,ugc_link_count,internal_link_ratio,external_unique_domain_count,canonical_exists,robots_meta_exists,viewport_exists,lang_exists,jsonld_count,schema_org_count,cta_count,phone_count,email_count
crawl_20260826155933_263693,c8c5f59fd0c4204f,2026-08-26T15:59:33.263679+00:00,390bf755885f99764b100896e2d983f1d209e38a94e64275ec923b9e117c7a50,known_edited,NORMAL,100112,https://essence-resilience.coach/,essence-resilience.coach,200,2060.92,0,True,78,11,True,141,16,1,12,3,0,0,0,16,922,5463,449,0.48698481561822127,8,3,0,0,5,0.375,46,42,4,0,0,0,0.9130434782608695,3,True,True,True,True,0,0,5,1,1
crawl_20260826155935_448272,7abf88539eb352b9,2026-08-26T15:59:35.448258+00:00,8e5b396bbc373044e1df6f59e334ea59891a664a995397b1a7490eed0e1a3f4a,known_edited,NORMAL,412652,https://jespomi.com/,jespomi.com,200,7944.49,0,True,17,3,True,13,2,1,9,13,7,0,0,30,588,3909,300,0.5102040816326531,23,23,0,0,0,1.0,94,86,4,0,0,0,0.9148936170212766,4,True,True,True,True,0,0,4,2,1
crawl_20260826155943_473158,1e8705bd153e0983,2026-08-26T15:59:43.473142+00:00,29dd6d78b533eb16a7dbbf33fd0324bffd200f26352882682c09b0960afbcf52,known_edited,NORMAL,142996,https://trafiq.fr/,trafiq.fr,200,98.34,0,True,70,11,False,0,0,1,7,12,0,0,0,20,655,4446,346,0.5282442748091603,10,10,0,0,0,1.0,55,41,12,0,0,0,0.7454545454545455,12,True,True,True,True,0,0,9,1,1
crawl_20260826155943_619882,fe380355d18d93ad,2026-08-26T15:59:43.619867+00:00,e47c709037aa49cff27afdf21681ef61759cd03ac923a5a9ea3ec987580e501e,known_edited,NORMAL,190916,https://nkongsambapeguanto.ltd/,nkongsambapeguanto.ltd,200,96.57,0,True,29,4,False,0,0,2,16,10,0,6,0,34,844,5581,396,0.46919431279620855,25,1,0,0,24,0.04,44,28,13,0,0,0,0.6363636363636364,5,True,True,True,True,0,0,6,0,1
crawl_20260826155943_786283,05eacfbd8fe37901,2026-08-26T15:59:43.786266+00:00,02674f359495405022e9496a43bece0d9163b1421352352d809fdedc5747123a,known_edited,NORMAL,281051,https://depannage-rideaux-metalliques.fr/,depannage-rideaux-metalliques.fr,200,2078.73,0,True,63,8,True,147,24,1,9,6,0,0,2,18,1329,9211,521,0.39202407825432656,13,12,0,0,1,0.9230769230769231,147,124,10,0,0,0,0.8435374149659864,7,True,True,True,True,0,0,28,10,2
crawl_20260826155946_055892,a19ea853b117d2b3,2026-08-26T15:59:46.055870+00:00,92c3118e37cc17b3417c115d941cd3564e02f78873f1dbb91556f08a14641049,known_edited,NORMAL,169257,https://cabinet-3c.com/,cabinet-3c.com,200,1701.31,0,True,79,11,True,160,20,1,11,3,0,0,0,15,1493,10069,580,0.3884795713328868,6,6,0,0,0,1.0,129,127,0,0,0,0,0.9844961240310077,0,True,True,True,True,0,0,16,1,1
crawl_20260826155947_813753,b3530bf019393c8c,2026-08-26T15:59:47.813736+00:00,2549ee4f50cf859583ea3b954f3136a0bafe19c8a62be4ccfadc36e1e667f539,known_edited,NORMAL,177386,https://if-ca.fr/,if-ca.fr,200,726.25,0,True,14,3,True,340,55,1,15,11,6,0,0,33,1291,8188,597,0.4624322230828815,15,3,0,0,12,0.2,39,31,5,0,0,0,0.7948717948717948,5,True,True,True,True,0,0,17,2,1
crawl_20260826155948_602267,ceda02553633033c,2026-08-26T15:59:48.602254+00:00,ee782bcaf8a4b18bb0998d31aa85ab7fd20b7708d69e6b6104a56e714eba77ba,poor_candidate,NORMAL,154497,https://ada13.org/,ada13.org,200,633.76,0,True,46,10,False,0,0,1,0,1,0,0,0,2,268,1833,144,0.5373134328358209,5,4,0,0,1,0.8,100,98,2,0,0,0,0.98,2,True,True,True,True,0,0,2,0,0
crawl_20260826155949_272585,4b1e290b60ab4f49,2026-08-26T15:59:49.272567+00:00,985d2723547074772ada816541c67a0678160cb6f634bacfbc63e8bf7ebbf9e4,poor_candidate,NORMAL,126474,https://toulemondencuisine.wordpress.com/,toulemondencuisine.wordpress.com,200,50.43,0,True,91,17,True,62,10,2,20,0,0,0,0,22,707,4276,309,0.43705799151343705,15,9,0,0,6,0.6,128,76,47,2,0,0,0.59375,36,False,True,True,True,0,0,1,0,0
crawl_20260826155949_371928,5f96cef86c9446d5,2026-08-26T15:59:49.371913+00:00,c2a6d1646e586e049a2e2aac8445739cc7fe56d13a4f97a3a70a298450921b6c,poor_candidate,NORMAL,186331,https://jeanleptitplombier.com/,jeanleptitplombier.com,200,1162.61,0,True,32,6,True,151,24,2,2,5,1,0,0,10,314,2041,172,0.5477707006369427,9,7,0,0,2,0.7777777777777778,20,19,1,1,0,0,0.95,1,True,True,True,True,0,0,11,3,2
