crawl_id,page_id,crawl_timestamp,content_hash,url,domain,status_code,response_time_ms,redirect_count,title_exists,title_length,title_word_count,meta_description_exists,meta_description_length,meta_description_word_count,h1_count,h2_count,h3_count,h4_count,h5_count,h6_count,heading_total_count,word_count,character_count,unique_word_count,unique_word_ratio,image_count,images_with_alt,images_without_alt,images_missing_alt_attribute,empty_alt_count,total_link_count,internal_link_count,external_link_count,nofollow_link_count,sponsored_link_count,ugc_link_count
crawl_20260818081615_b905cbe5,c8c5f59fd0c4204f,2026-08-18T08:16:15.778480+00:00,e9d016642753c3417a789c2e8d213a8a3db47e16f29bf1bce2e5a3d60120b29b,https://essence-resilience.coach/,essence-resilience.coach,200,2286.12,0,True,78,11,True,141,16,1,12,3,0,0,0,16,922,5463,449,0.48698481561822127,8,3,5,0,5,46,42,4,0,0,0
crawl_20260818081618_b8046c09,7abf88539eb352b9,2026-08-18T08:16:18.122783+00:00,23c0a3922f33184110b7760befffbb841db1d046de717732d174126d5cf4c500,https://jespomi.com/,jespomi.com,200,393.2,0,True,17,3,True,13,2,1,9,13,7,0,0,30,588,3909,300,0.5102040816326531,23,23,0,0,0,94,86,4,0,0,0
crawl_20260818081618_83e347e9,1e8705bd153e0983,2026-08-18T08:16:18.615623+00:00,29dd6d78b533eb16a7dbbf33fd0324bffd200f26352882682c09b0960afbcf52,https://trafiq.fr/,trafiq.fr,200,192.05,0,True,70,11,False,0,0,1,7,12,0,0,0,20,655,4446,346,0.5282442748091603,10,10,0,0,0,55,41,12,0,0,0
crawl_20260818081618_f10a2677,fe380355d18d93ad,2026-08-18T08:16:18.918358+00:00,f8325571f48c7860e2c36d3c5a076d885fde0d31c1f8b146ea2028be7442edc5,https://nkongsambapeguanto.ltd/,nkongsambapeguanto.ltd,200,188.67,0,True,29,4,False,0,0,2,16,10,0,6,0,34,844,5581,396,0.46919431279620855,25,1,24,0,24,44,28,13,0,0,0
crawl_20260818081619_ce7fce38,05eacfbd8fe37901,2026-08-18T08:16:19.199546+00:00,291ef5d02d6f504922f680454a07b36eb70aef093ef8351091b4f6fe642048df,https://depannage-rideaux-metalliques.fr/,depannage-rideaux-metalliques.fr,200,216.36,0,True,63,8,True,147,24,1,9,6,0,0,2,18,1329,9211,521,0.39202407825432656,13,12,1,0,1,147,124,10,0,0,0
crawl_20260818081619_508bb82e,a19ea853b117d2b3,2026-08-18T08:16:19.582501+00:00,1aec9c7fcf55e605817dde58e858c600071f63669bd8db9178c3fa5628354add,https://cabinet-3c.com/,cabinet-3c.com,200,1900.03,0,True,79,11,True,160,20,1,11,3,0,0,0,15,1493,10069,580,0.3884795713328868,6,6,0,0,0,129,127,0,0,0,0
crawl_20260818081621_5c4f2e32,b3530bf019393c8c,2026-08-18T08:16:21.566153+00:00,fcbd2fa0eab01036b8a81db0ea27b9b1ce16e88010b274b6e491914371b4ae81,https://if-ca.fr/,if-ca.fr,200,747.69,0,True,14,3,True,340,55,1,15,11,6,0,0,33,1291,8188,597,0.4624322230828815,15,3,12,0,12,39,31,5,0,0,0
