crawl_id,page_id,crawl_timestamp,content_hash,url,domain,status_code,response_time_ms,redirect_count,title_exists,title_length,title_word_count,meta_description_exists,meta_description_length,meta_description_word_count,h1_count,h2_count,h3_count,h4_count,h5_count,h6_count,word_count,character_count,unique_word_count,unique_word_ratio,image_count,images_with_alt,images_without_alt,empty_alt_count,total_link_count,internal_link_count,external_link_count,nofollow_link_count,sponsored_link_count,ugc_link_count
crawl_20260818052634_3351855c,0f115db062b7c0dd,2026-08-18T05:26:34.784264+00:00,ff67a9d764d6a2367a187734e697f6a53217db9a21c101d410a113ca871a299d,https://example.com/,example.com,200,315.3,0,True,14,2,False,0,0,1,0,0,0,0,0,21,142,16,0.7619047619047619,0,0,0,0,1,0,1,0,0,0
crawl_20260818064728_f1df9a06,c8c5f59fd0c4204f,2026-08-18T06:47:28.514874+00:00,e9d016642753c3417a789c2e8d213a8a3db47e16f29bf1bce2e5a3d60120b29b,https://essence-resilience.coach/,essence-resilience.coach,200,2022.23,0,True,78,11,True,141,16,1,12,3,0,0,0,922,5463,449,0.48698481561822127,8,3,0,5,46,42,4,0,0,0
crawl_20260818064730_30b9e837,7abf88539eb352b9,2026-08-18T06:47:30.619718+00:00,23c0a3922f33184110b7760befffbb841db1d046de717732d174126d5cf4c500,https://jespomi.com/,jespomi.com,200,5901.04,0,True,17,3,True,13,2,1,9,13,7,0,0,588,3909,300,0.5102040816326531,23,23,0,0,94,86,4,0,0,0
crawl_20260818064736_9358429f,1e8705bd153e0983,2026-08-18T06:47:36.642974+00:00,29dd6d78b533eb16a7dbbf33fd0324bffd200f26352882682c09b0960afbcf52,https://trafiq.fr/,trafiq.fr,200,441.83,0,True,70,11,False,0,0,1,7,12,0,0,0,655,4446,346,0.5282442748091603,10,10,0,0,55,41,12,0,0,0
crawl_20260818064737_2e4f512b,fe380355d18d93ad,2026-08-18T06:47:37.139488+00:00,f8325571f48c7860e2c36d3c5a076d885fde0d31c1f8b146ea2028be7442edc5,https://nkongsambapeguanto.ltd/,nkongsambapeguanto.ltd,200,288.46,0,True,29,4,False,0,0,2,16,10,0,6,0,844,5581,396,0.46919431279620855,25,1,0,24,44,28,13,0,0,0
crawl_20260818064737_46dba0c2,05eacfbd8fe37901,2026-08-18T06:47:37.546269+00:00,291ef5d02d6f504922f680454a07b36eb70aef093ef8351091b4f6fe642048df,https://depannage-rideaux-metalliques.fr/,depannage-rideaux-metalliques.fr,200,2140.3,0,True,63,8,True,147,24,1,9,6,0,0,2,1329,9211,521,0.39202407825432656,13,12,0,1,147,124,10,0,0,0
crawl_20260818064739_b7eb82ec,a19ea853b117d2b3,2026-08-18T06:47:39.842444+00:00,2747d967df9f5b6b702aee9f9ddbe1689e9991424fb704cc275957ce55b4265d,https://cabinet-3c.com/,cabinet-3c.com,200,2476.21,0,True,79,11,True,160,20,1,11,3,0,0,0,1493,10069,580,0.3884795713328868,6,6,0,0,129,127,0,0,0,0
crawl_20260818064742_3657b04a,b3530bf019393c8c,2026-08-18T06:47:42.395561+00:00,e2f7ee37da94ab5319afb25fcf09c16c232968e0cd065aa5ccfefee7ab16ae31,https://if-ca.fr/,if-ca.fr,200,915.14,0,True,14,3,True,340,55,1,15,11,6,0,0,1291,8188,597,0.4624322230828815,15,3,0,12,39,31,5,0,0,0
