crawl_id,page_id,crawl_timestamp,content_hash,url,domain,status_code,response_time_ms,redirect_count,heading_total_count,h1_count,unique_word_ratio,images_missing_alt_attribute,unique_word_count,title_word_count,meta_description_exists,images_without_alt,meta_description_word_count,character_count,nofollow_link_count,h2_count,h6_count,title_exists,ugc_link_count,h4_count,title_length,images_with_alt,internal_link_count,h5_count,h3_count,external_link_count,total_link_count,sponsored_link_count,image_count,empty_alt_count,word_count,meta_description_length,title_label,meta_label,headings_label,content_label,images_label,links_label,final_label,confidence,vote_count,ambiguous,training_eligible
crawl_20260818081615_b905cbe5,c8c5f59fd0c4204f,2026-08-18T08:16:15.778480+00:00,e9d016642753c3417a789c2e8d213a8a3db47e16f29bf1bce2e5a3d60120b29b,https://essence-resilience.coach/,essence-resilience.coach,200,2286.12,0,16,1,0.48698481561822127,0,449,11,True,5,16,5463,0,12,0,True,0,0,78,3,42,0,3,4,46,0,8,5,922,141,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,1.0,6,False,True
crawl_20260818081618_b8046c09,7abf88539eb352b9,2026-08-18T08:16:18.122783+00:00,23c0a3922f33184110b7760befffbb841db1d046de717732d174126d5cf4c500,https://jespomi.com/,jespomi.com,200,393.2,0,30,1,0.5102040816326531,0,300,3,True,0,2,3909,0,9,0,True,0,7,17,23,86,0,13,4,94,0,23,0,588,13,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,1.0,6,False,True
crawl_20260818081618_83e347e9,1e8705bd153e0983,2026-08-18T08:16:18.615623+00:00,29dd6d78b533eb16a7dbbf33fd0324bffd200f26352882682c09b0960afbcf52,https://trafiq.fr/,trafiq.fr,200,192.05,0,20,1,0.5282442748091603,0,346,11,False,0,0,4446,0,7,0,True,0,0,70,10,41,0,12,12,55,0,10,0,655,0,AVERAGE,POOR,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,0.8333,6,False,True
crawl_20260818081618_f10a2677,fe380355d18d93ad,2026-08-18T08:16:18.918358+00:00,f8325571f48c7860e2c36d3c5a076d885fde0d31c1f8b146ea2028be7442edc5,https://nkongsambapeguanto.ltd/,nkongsambapeguanto.ltd,200,188.67,0,34,2,0.46919431279620855,0,396,4,False,24,0,5581,0,16,0,True,0,0,29,1,28,6,10,13,44,0,25,24,844,0,AVERAGE,POOR,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,0.8333,6,False,True
crawl_20260818081619_ce7fce38,05eacfbd8fe37901,2026-08-18T08:16:19.199546+00:00,291ef5d02d6f504922f680454a07b36eb70aef093ef8351091b4f6fe642048df,https://depannage-rideaux-metalliques.fr/,depannage-rideaux-metalliques.fr,200,216.36,0,18,1,0.39202407825432656,0,521,8,True,1,24,9211,0,9,2,True,0,0,63,12,124,0,6,10,147,0,13,1,1329,147,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,1.0,6,False,True
crawl_20260818081619_508bb82e,a19ea853b117d2b3,2026-08-18T08:16:19.582501+00:00,1aec9c7fcf55e605817dde58e858c600071f63669bd8db9178c3fa5628354add,https://cabinet-3c.com/,cabinet-3c.com,200,1900.03,0,15,1,0.3884795713328868,0,580,11,True,0,20,10069,0,11,0,True,0,0,79,6,127,0,3,0,129,0,6,0,1493,160,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,1.0,6,False,True
crawl_20260818081621_5c4f2e32,b3530bf019393c8c,2026-08-18T08:16:21.566153+00:00,fcbd2fa0eab01036b8a81db0ea27b9b1ce16e88010b274b6e491914371b4ae81,https://if-ca.fr/,if-ca.fr,200,747.69,0,33,1,0.4624322230828815,0,597,3,True,12,55,8188,0,15,0,True,0,6,14,3,31,0,11,5,39,0,15,12,1291,340,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,1.0,6,False,True
