crawl_id,page_id,crawl_timestamp,content_hash,calibration_group,crawl_quality,html_size_bytes,url,domain,status_code,response_time_ms,redirect_count,title_exists,title_length,title_word_count,meta_description_exists,meta_description_length,meta_description_word_count,h1_count,h2_count,h3_count,h4_count,h5_count,h6_count,heading_total_count,word_count,character_count,unique_word_count,unique_word_ratio,image_count,images_with_alt,images_without_alt,images_missing_alt_attribute,empty_alt_count,alt_coverage_ratio,total_link_count,internal_link_count,external_link_count,nofollow_link_count,sponsored_link_count,ugc_link_count,internal_link_ratio
crawl_20260821150747_449005,c8c5f59fd0c4204f,2026-08-21T15:07:47.448962+00:00,aeb092f6bc42e098cfdb6e8d35199c6f772c59e71dc1ef6df8b16aab9afefb2b,known_edited,NORMAL,100112,https://essence-resilience.coach/,essence-resilience.coach,200,2151.43,0,True,78,11,True,141,16,1,12,3,0,0,0,16,922,5463,449,0.48698481561822127,8,3,5,0,5,0.375,46,42,4,0,0,0,0.9130434782608695
crawl_20260821150749_708064,7abf88539eb352b9,2026-08-21T15:07:49.708037+00:00,1ac197f86a2d6d86ef2c129f8ead8be8a3470a936833976f50d6dd21192068f5,known_edited,NORMAL,412648,https://jespomi.com/,jespomi.com,200,5974.09,0,True,17,3,True,13,2,1,9,13,7,0,0,30,588,3909,300,0.5102040816326531,23,23,0,0,0,1.0,94,86,4,0,0,0,0.9148936170212766
crawl_20260821150755_832967,1e8705bd153e0983,2026-08-21T15:07:55.832942+00:00,29dd6d78b533eb16a7dbbf33fd0324bffd200f26352882682c09b0960afbcf52,known_edited,NORMAL,142996,https://trafiq.fr/,trafiq.fr,200,86.08,0,True,70,11,False,0,0,1,7,12,0,0,0,20,655,4446,346,0.5282442748091603,10,10,0,0,0,1.0,55,41,12,0,0,0,0.7454545454545455
crawl_20260821150756_004166,fe380355d18d93ad,2026-08-21T15:07:56.004140+00:00,38c1ca12c444049e4be6ee5705121962c312a569a9c19a9602374247b113592b,known_edited,NORMAL,190917,https://nkongsambapeguanto.ltd/,nkongsambapeguanto.ltd,200,121.82,0,True,29,4,False,0,0,2,16,10,0,6,0,34,844,5581,396,0.46919431279620855,25,1,24,0,24,0.04,44,28,13,0,0,0,0.6363636363636364
crawl_20260821150756_234695,05eacfbd8fe37901,2026-08-21T15:07:56.234669+00:00,60c6ec61a2aba260769e60bb3d80b19e5ee39a5fd90567dba40825d82e39b10e,known_edited,NORMAL,280460,https://depannage-rideaux-metalliques.fr/,depannage-rideaux-metalliques.fr,200,2050.16,0,True,63,8,True,147,24,1,9,6,0,0,2,18,1329,9211,521,0.39202407825432656,13,12,1,0,1,0.9230769230769231,147,124,10,0,0,0,0.8435374149659864
crawl_20260821150758_425606,a19ea853b117d2b3,2026-08-21T15:07:58.425585+00:00,a32982a978984489496502cd19c1738f140f1697fd1db523047f33465e2733f5,known_edited,NORMAL,169257,https://cabinet-3c.com/,cabinet-3c.com,200,2345.43,0,True,79,11,True,160,20,1,11,3,0,0,0,15,1493,10069,580,0.3884795713328868,6,6,0,0,0,1.0,129,127,0,0,0,0,0.9844961240310077
crawl_20260821150800_926981,b3530bf019393c8c,2026-08-21T15:08:00.926952+00:00,8eee346183e0bd6acfd2573d8c3b46cccdbd3050fb3a246e2139cbc769d1edb3,known_edited,NORMAL,177169,https://if-ca.fr/,if-ca.fr,200,676.52,0,True,14,3,True,340,55,1,15,11,6,0,0,33,1291,8188,597,0.4624322230828815,15,3,12,0,12,0.2,39,31,5,0,0,0,0.7948717948717948
crawl_20260821150801_777216,ceda02553633033c,2026-08-21T15:08:01.777167+00:00,920be79e92b3ce82b11dfffb8d098ecb4e1501df12711d822371cd2dd0a4abca,poor_candidate,NORMAL,154497,https://ada13.org/,ada13.org,200,1034.58,0,True,46,10,False,0,0,1,0,1,0,0,0,2,268,1833,144,0.5373134328358209,5,4,1,0,1,0.8,100,98,2,0,0,0,0.98
crawl_20260821150802_861501,4b1e290b60ab4f49,2026-08-21T15:08:02.861478+00:00,e2d5a29fc7d19f245bcdcbc2906fc9edcbf19657fa6dc13027995d70dc69739f,poor_candidate,NORMAL,126433,https://toulemondencuisine.wordpress.com/,toulemondencuisine.wordpress.com,200,64.86,0,True,91,17,True,62,10,2,20,0,0,0,0,22,714,4309,312,0.4369747899159664,15,9,6,0,6,0.6,128,76,47,2,0,0,0.59375
crawl_20260821150802_992536,5f96cef86c9446d5,2026-08-21T15:08:02.992518+00:00,14230b1e58b1b22ec8cc8b1e34fa5a28acf24a7cc87840cb88b0eeb495559609,poor_candidate,NORMAL,186331,https://jeanleptitplombier.com/,jeanleptitplombier.com,200,1254.39,0,True,32,6,True,151,24,2,2,5,1,0,0,10,314,2041,172,0.5477707006369427,9,7,2,0,2,0.7777777777777778,20,19,1,1,0,0,0.95
